year,coast_region,water_class,mean_WUE_T_pct_change,mean_abs_WUE_T_pct_change,pct_pixels_increase,pct_pixels_decrease,pct_Stable,pct_Mild,pct_Moderate,pct_Large,pct_Strong
2017,Gulf Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2017,Atlantic Coast,Upland,-0.2713,1.7409,47.8,52.21,15.98,14.13,41.58,28.3,0.0
2017,Atlantic Coast,Freshwater,-2.6841,2.6841,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2017,Atlantic Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2018,AK Coast,Upland,2.348,4.4738,59.78,40.22,5.65,5.57,17.58,40.49,30.71
2018,AK Coast,Freshwater,-2.6842,2.6842,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2018,AK Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2018,Pacific Coast,Upland,0.948,1.2234,77.06,22.94,26.83,24.56,33.86,14.75,0.0
2018,Pacific Coast,Freshwater,-2.6836,2.6836,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2018,Pacific Coast,Saline,-2.8169,2.8169,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2018,Gulf Coast,Upland,15.4918,26.9289,62.72,37.28,1.17,0.15,4.24,3.65,90.79
2018,Gulf Coast,Freshwater,-2.6835,2.6835,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2018,Gulf Coast,Saline,-2.8169,2.8169,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2018,Atlantic Coast,Upland,-1.0622,1.8894,33.35,66.65,15.38,14.07,34.63,35.92,0.0
2018,Atlantic Coast,Freshwater,-2.6844,2.6844,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2018,Atlantic Coast,Saline,-2.8165,2.8165,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2019,AK Coast,Upland,2.8208,4.9464,58.0,42.0,5.19,5.07,20.78,34.71,34.26
2019,AK Coast,Freshwater,-2.6842,2.6842,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2019,AK Coast,Saline,-2.8165,2.8165,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2019,Pacific Coast,Upland,0.4987,1.3676,53.83,46.17,16.4,16.84,53.24,13.52,0.0
2019,Pacific Coast,Freshwater,-2.6838,2.6838,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2019,Pacific Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2019,Gulf Coast,Upland,-0.0525,18.9766,33.77,66.23,0.73,1.31,3.8,5.99,88.16
2019,Gulf Coast,Freshwater,-2.6843,2.6843,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2019,Gulf Coast,Saline,-2.8165,2.8165,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2019,Atlantic Coast,Upland,-0.6999,1.5404,34.9,65.1,19.55,17.17,42.43,20.86,0.0
2019,Atlantic Coast,Freshwater,-2.6844,2.6844,0.0,100.0,0.0,0.0,0.0,100.0,0.0
